strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
180701030101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702030802,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201040104,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400100605,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400510101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701020102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201570403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181002010401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702020306,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102060902,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400020101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600070110,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702020201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703010303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201570303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201250901,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101050703,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500020301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101060302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400091403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003090603,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080204,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600040302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080405,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181002010106,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600030101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300040306,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300090206,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101020601,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500020202,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703020204,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201530701,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400070402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
